active,reassignment_count,reopen_count,sys_mod_count,made_sla,priority,knowledge,u_priority_confirmation,open_hour,open_day_of_week,open_month,open_quarter,is_business_hours,is_weekend,incident_state_Active,incident_state_Awaiting Evidence,incident_state_Awaiting Problem,incident_state_Awaiting User Info,incident_state_Awaiting Vendor,incident_state_Closed,incident_state_New,incident_state_Resolved,contact_type_Email,contact_type_IVR,contact_type_Phone,contact_type_Self service,impact_2 - Medium,impact_3 - Low,urgency_2 - Medium,urgency_3 - Low,notify_Send Email,vendor_Vendor 2,vendor_Vendor 3,vendor_code 8s,caused_by_CHG0000132,caused_by_CHG0001327,number_encoded,caller_id_encoded,location_encoded,category_encoded,subcategory_encoded,u_symptom_encoded,cmdb_ci_encoded,assignment_group_encoded,assigned_to_encoded,problem_id_encoded,rfc_encoded
True,-0.060067567159533264,-0.10572853483016008,-0.4011321789097444,True,3 - Moderate,False,True,1.0255697298256916,-0.6015671939735128,-0.8848421806922447,-1.1302940683721476,1,0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,-0.6917680431334461,1.5999482226359636,-0.6163463643603758,0.1314612018484866,0.20477840166879596,-0.005529241405455466,0.04777662251818304,-0.6495889951297168,-0.644990331406826,0.1116214406863944,0.0706892535409918
True,-0.6365469845584077,-0.10572853483016008,-0.6615276528149163,True,3 - Moderate,False,False,-2.7157752174545395,2.587778253076344,1.1645613513868496,0.8046455073415282,0,1,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,1.5032865203761356,-0.03519711418690381,0.07724335255983124,0.9755289296098385,2.0549426149022834,-1.9288163720776272,0.04777662251818304,-1.5842543718143562,-1.2042847074990117,0.1116214406863944,0.0706892535409918
False,-0.060067567159533264,-0.10572853483016008,-0.010538968051986546,True,3 - Moderate,False,True,0.7761467333403429,-1.239436283383484,-0.8848421806922447,-1.1302940683721476,1,0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,-0.5063891548524065,1.2366563870380316,0.7400068598391403,0.41281711110227054,0.3787254644514315,-0.005529241405455466,0.04777662251818304,-1.456800002266451,0.0741024378545554,0.1116214406863944,0.0706892535409918
True,-0.060067567159533264,-0.10572853483016008,-0.1407367050045725,True,3 - Moderate,False,False,1.0255697298256916,0.03630189543645852,1.1645613513868496,0.8046455073415282,1,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,1.1607976651941565,-1.0566648347529355,-1.4178278150237262,0.9755289296098385,-0.5384499574933741,-0.005529241405455466,0.04777662251818304,0.9648330191437515,1.3125399849158235,0.1116214406863944,0.0706892535409918
True,-0.6365469845584077,-0.10572853483016008,-0.5313299158623304,True,3 - Moderate,False,True,0.5267237368549942,0.03630189543645852,-0.8848421806922447,-1.1302940683721476,1,0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,-0.6526264596840771,-0.2630016838580019,0.07724335255983124,-0.5719285712859734,-0.5384499574933741,-0.005529241405455466,0.04777662251818304,-0.6495889951297168,-0.49850847100172985,0.1116214406863944,0.0706892535409918
True,-0.6365469845584077,-0.10572853483016008,-0.6615276528149163,True,3 - Moderate,False,False,2.0232617157670867,-0.6015671939735128,1.1645613513868496,0.8046455073415282,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,1.5950246065855944,0.4735442863030703,0.07724335255983124,-0.9236234578532033,-0.5384499574933741,1.1216720073401398,0.04777662251818304,-0.13977151693809522,-0.4718754054735305,-0.820160673499071,0.0706892535409918
True,0.5164118502393412,-0.10572853483016008,-0.27093444195715843,True,3 - Moderate,False,False,0.2773007403696454,-1.239436283383484,0.13985958534730247,0.8046455073415282,1,0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,0.31504046448088,-1.2313371432762557,-0.8629560414875606,-0.5719285712859734,1.327527625083989,-0.005529241405455466,0.04777662251818304,0.7099242800479407,-0.49850847100172985,0.1116214406863944,0.0706892535409918
True,-0.060067567159533264,-0.10572853483016008,0.24985650585318536,True,3 - Moderate,False,False,0.5267237368549942,0.6741709848464298,1.1645613513868496,0.8046455073415282,1,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,0.9490525713951391,-0.3832134247048496,-0.8629560414875606,-1.2753183444204332,1.9916891375267793,-0.005529241405455466,0.04777662251818304,0.7099242800479407,0.24721736378785095,0.1116214406863944,0.0706892535409918
True,-0.6365469845584077,-0.10572853483016008,-0.4011321789097444,True,3 - Moderate,False,False,0.5267237368549942,0.03630189543645852,0.13985958534730247,0.8046455073415282,1,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,-0.11415787070352089,-1.1483179852328524,-1.4178278150237262,1.8899356346846365,1.9758757681829033,1.1216720073401398,0.04777662251818304,-1.2018912631706402,0.6067637484185417,0.1116214406863944,0.0706892535409918
True,-0.6365469845584077,-0.10572853483016008,0.24985650585318536,True,3 - Moderate,False,False,-2.965198213939888,1.3120400742564011,0.13985958534730247,0.8046455073415282,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,0.6794105520772634,-0.378564351854419,-0.6163463643603758,1.8899356346846365,-0.5384499574933741,-0.005529241405455466,0.04777662251818304,-1.3293456327185456,0.15400163443915335,0.1116214406863944,0.0706892535409918
